SK_ID_CURR,CODE_GENDER,FLAG_OWN_CAR,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,HAS_EXT_SOURCE_1,HAS_EXT_SOURCE_2,HAS_EXT_SOURCE_3,DEBT_RATIO,CREDIT_ANNUITY,DAYS_EMPLOYED_PERCENT
100002,1,0,0,202500.0,406597.5,24700.5,-9461,-637,0.0830369673913225,0.2629485927471776,0.1393757800997895,0,0,0,1,0,0,0,0,0.12,16.46,0.0673290349857309
100003,0,0,0,270000.0,1293502.5,35698.5,-16765,-1188,0.3112673113812225,0.6222457752555098,0.0,0,1,0,0,0,0,0,1,0.13,36.23,0.07086191470325082
100004,1,1,0,67500.0,135000.0,6750.0,-19046,-225,0.0,0.5559120833904428,0.7295666907060153,0,0,0,1,0,1,0,0,0.1,20.0,0.011813504147852568
100006,0,0,0,135000.0,312682.5,29686.5,-19005,-3039,0.0,0.6504416904014653,0.0,1,0,0,0,0,1,0,1,0.22,10.53,0.15990528808208365
100007,1,0,0,121500.0,513000.0,21865.5,-19932,-3038,0.0,0.3227382869704046,0.0,0,0,0,1,0,1,0,1,0.18,23.46,0.1524182219546458
100008,1,0,0,99000.0,490495.5,27517.5,-16941,-1588,0.0,0.3542247319929012,0.6212263380626669,0,1,0,0,0,1,0,0,0.28,17.82,0.09373708753910631
100009,0,1,1,171000.0,1560726.0,41301.0,-13778,-3130,0.7747614130547695,0.7239998516953141,0.4920600938649263,0,1,0,0,0,0,0,0,0.24,37.79,0.2271737552620119
100010,1,1,0,360000.0,1530000.0,42075.0,-18850,-449,0.0,0.7142792864482229,0.5406544504453575,0,1,0,0,0,1,0,0,0.12,36.36,0.023819628647214854
100012,1,0,0,135000.0,405000.0,20250.0,-14469,-2019,0.0,0.7466436294590924,0.0,0,0,0,1,0,1,0,1,0.15,20.0,0.13953970557744141
100014,0,0,1,112500.0,652500.0,21177.0,-10197,-679,0.3197601716755032,0.6518623334244781,0.363945238612397,0,1,0,0,0,0,0,0,0.19,30.81,0.06658821221928019
