SK_ID_CURR,TARGET
100002,1
100003,0
100004,0
100006,0
100007,0
100008,0
100009,0
100010,0
100012,0
100014,0
100016,0
100017,0
100018,0
100019,0
100020,0
100021,0
100022,0
100023,0
100024,0
100025,0
100026,0
100029,0
100030,0
100031,1
100032,0
100033,0
100034,0
100035,0
100036,0
100037,0
100039,0
100040,0
100041,0
100043,0
100044,0
100046,0
100047,1
100048,0
100049,1
100051,0
100052,0
100054,0
100055,0
100056,0
100058,0
100059,0
100060,0
100061,0
100063,0
100068,0
100069,0
100070,0
100071,0
100072,0
100075,0
100076,0
100077,0
100078,0
100079,0
100080,0
100081,0
100082,0
100083,0
100084,0
100085,0
100086,0
100087,0
100088,0
100089,0
100093,0
100095,0
100097,0
100098,0
100100,0
100101,0
100102,0
100103,0
100104,0
100105,0
100108,0
100110,0
100111,0
100112,1
100113,0
100114,0
100115,0
100116,0
100119,0
100120,0
100121,0
100122,0
100123,0
100126,0
100129,0
100130,1
100131,0
100132,0
100133,0
100134,0
100135,0
100136,0
100139,0
100140,0
100142,0
100143,0
100144,0
100145,0
100147,0
100148,0
100149,0
100151,0
100152,0
100153,0
100154,0
100155,0
100156,0
100157,0
100158,0
100159,0
100160,1
100161,0
100163,0
100164,0
100166,0
100167,0
100173,0
100174,0
100175,0
100176,0
100177,0
100178,0
100179,0
100180,0
100181,1
100182,0
100188,0
100189,0
100190,0
100191,0
100192,1
100193,0
100194,0
100195,0
100196,0
100197,0
100198,0
100199,0
100200,0
100201,0
100205,0
100206,0
100207,0
100208,0
100209,1
100210,0
100211,0
100213,0
100214,1
100216,0
100217,0
100218,0
100219,0
100220,0
100221,0
100224,0
100225,0
100226,0
100227,0
100228,0
100229,0
100230,0
100231,0
100233,0
100234,0
100235,0
100236,0
100237,0
100238,0
100239,0
100240,0
100242,0
100243,0
100244,0
100246,1
100247,0
100249,0
100250,0
100251,0
100252,0
100254,0
100255,0
100258,0
100260,0
100261,0
100262,0
100265,0
100266,0
100267,0
100268,0
100269,0
100272,0
100273,1
100274,0
100276,0
100281,0
100282,1
100283,0
100284,0
100285,0
100286,1
100288,0
100289,0
100290,0
100291,0
100293,0
100294,0
100295,1
100296,0
100297,0
100298,0
100299,0
100300,1
100301,1
100302,0
100304,0
100305,0
100307,0
100308,0
100309,0
100310,0
100314,0
100315,0
100316,0
100317,0
100318,0
100319,0
100320,0
100321,0
100322,0
100323,0
100324,0
100325,0
100327,0
100328,0
100329,0
100333,0
100334,0
100336,1
100337,0
100338,0
100339,0
100340,0
100341,0
100342,0
100343,0
100344,0
100345,0
100346,0
100348,0
100353,0
100354,0
100355,0
100356,0
100357,0
100359,0
100360,0
100361,0
100362,0
100363,0
100364,0
100366,0
100368,0
100369,0
100371,0
100373,0
100374,0
100375,0
100376,0
100377,0
100378,0
100379,0
100380,0
100381,0
100383,0
100387,0
100388,0
100389,0
100390,0
100391,0
100392,0
100393,0
100395,0
100397,0
100398,0
100403,0
100405,0
100407,0
100408,0
100409,0
100410,0
100411,0
100412,0
100414,0
100415,0
100417,0
100418,0
100420,0
100421,0
100423,0
100424,1
100425,0
100427,0
100428,0
100429,0
100430,0
100431,0
100432,0
100433,0
100434,0
100435,0
100436,0
100439,1
100442,0
100448,0
100449,0
100451,0
100452,1
100453,0
100454,0
100455,0
100456,0
100457,0
100459,0
100460,0
100461,0
100462,0
100464,0
100465,0
100467,0
100469,0
100470,0
100471,0
100472,1
100473,0
100474,0
100475,0
100476,0
100477,1
100478,0
100479,0
100480,0
100481,0
100482,0
100485,1
100488,0
100489,0
100490,1
100491,0
100492,0
100493,0
100495,0
100496,0
100497,0
100498,0
100499,0
100500,0
100501,0
100502,0
100504,0
100505,0
100506,0
100507,0
100508,0
100511,0
100513,0
100515,0
100520,0
100522,0
100523,0
100524,0
100525,0
100526,0
100527,0
100528,0
100529,0
100530,0
100531,0
100532,0
100533,0
100534,0
100535,0
100536,0
100537,0
100538,0
100539,0
100540,1
100541,1
100542,0
100544,0
100545,0
100547,1
100549,0
100550,0
100554,0
100555,0
100557,0
100558,0
100559,0
100562,0
100563,0
100564,0
100566,0
100567,1
100570,0
100571,0
100573,0
100574,0
100576,0
100578,0
100579,0
100580,0
100581,0
100583,0
100584,0
100585,0
100587,0
100588,0
100589,0
100590,0
100593,0
100594,0
100595,0
100596,0
100597,0
100598,0
100599,0
100600,0
100601,0
100603,0
100604,0
100605,0
100609,0
100610,0
100611,0
100612,0
100614,0
100615,0
100616,1
100619,0
100620,0
100621,0
100623,0
100626,0
100627,0
100628,0
100629,0
100630,0
100631,0
100632,0
100633,0
100634,0
100635,0
100636,1
100637,0
100638,0
100639,0
100640,0
100641,1
100644,0
100645,0
100646,1
100647,0
100648,0
100649,1
100650,1
100651,0
100653,0
100654,0
100655,0
100657,0
100658,0
100659,0
100660,0
100661,0
100662,0
100663,0
100664,0
100665,0
100666,0
100668,0
100670,0
100671,0
100673,0
100674,0
100676,0
100678,0
100679,0
100680,0
100681,0
100682,0
100683,0
100684,0
100685,0
100686,0
100687,0
100688,0
100690,1
100691,0
100692,0
100693,0
100694,0
100696,0
100698,0
100700,0
100704,0
100705,0
100708,0
100709,0
100710,0
100712,0
100713,1
100715,0
100716,0
100717,1
100718,0
100719,0
100720,0
100722,0
100723,0
100724,0
100725,0
100726,0
100727,0
100728,0
100730,0
100731,0
100732,0
100733,0
100734,0
100735,0
100736,0
100738,0
100739,0
100741,0
100743,0
100748,0
100749,0
100750,0
100755,0
100756,0
100757,0
100758,0
100759,0
100761,0
100764,0
100766,0
100767,0
100768,0
100769,0
100771,0
100774,0
100775,0
100776,0
100778,0
100779,0
100780,0
100781,0
100782,0
100783,0
100786,0
100787,0
100788,0
100789,0
100790,0
100793,0
100795,0
100796,1
100798,0
100799,0
100801,0
100802,0
100803,0
100804,0
100805,0
100806,0
100807,0
100808,1
100809,0
100810,0
100811,0
100812,0
100813,0
100814,0
100817,0
100818,0
100820,0
100821,0
100822,0
100824,0
100827,0
100828,0
100831,0
100832,0
100833,0
100834,0
100835,0
100837,0
100838,0
100839,1
100840,1
100841,0
100842,0
100843,0
100844,0
100845,0
100847,0
100848,0
100849,0
100851,0
100852,0
100853,0
100854,0
100855,0
100856,0
100858,0
100859,0
100860,0
100861,0
100862,0
100864,0
100865,0
100866,0
100868,0
100869,0
100870,0
100871,0
100873,0
100874,0
100875,0
100876,0
100877,0
100878,0
100879,1
100881,0
100882,0
100883,0
100884,0
100885,0
100886,0
100888,0
100889,0
100890,0
100893,0
100894,0
100895,0
100896,1
100897,0
100899,0
100900,0
100901,0
100903,0
100904,0
100905,0
100906,0
100907,0
100908,0
100911,0
100912,0
100914,0
100915,0
100916,0
100917,0
100920,0
100921,0
100923,0
100924,0
100925,0
100926,0
100927,0
100928,0
100929,0
100930,0
100932,0
100933,0
100934,0
100935,0
100937,0
100939,0
100940,0
100942,0
100943,0
100944,0
100945,1
100947,0
100949,0
100950,0
100951,0
100954,0
100956,0
100957,0
100958,0
100959,0
100960,0
100961,0
100962,0
100963,1
100964,0
100966,0
100967,0
100968,0
100969,0
100971,1
100972,0
100973,0
100975,0
100976,0
100978,0
100979,0
100980,0
100985,0
100986,0
100988,0
100989,0
100990,0
100991,0
100992,1
100993,0
100994,0
100995,0
100996,1
100999,0
101000,0
101001,0
101003,0
101004,0
101007,0
101009,0
101010,0
101011,0
101012,0
101013,0
101014,0
101015,0
101016,0
101018,0
101019,0
101023,0
101027,0
101028,0
101029,0
101030,0
101032,0
101033,0
101034,0
101036,0
101038,0
101039,0
101042,1
101044,0
101045,0
101046,0
101047,0
101048,0
101049,0
101050,0
101052,0
101053,0
101054,0
101058,0
101059,0
101060,0
101061,0
101062,0
101063,1
101065,0
101066,0
101067,0
101068,0
101069,0
101070,0
101071,0
101072,0
101073,1
101074,0
101075,0
101076,1
101077,0
101078,0
101080,0
101081,0
101082,0
101083,0
101084,0
101085,0
101086,0
101088,0
101089,0
101093,1
101094,0
101095,0
101096,1
101098,0
101100,0
101101,0
101102,0
101103,0
101105,0
101106,0
101108,0
101109,0
101110,0
101111,0
101112,0
101113,0
101114,0
101115,0
101116,0
101119,0
101120,0
101121,1
101122,0
101124,0
101127,1
101131,0
101132,0
101134,0
101135,0
101137,0
101138,0
101139,0
101141,0
101142,1
101143,0
101144,0
101145,0
101147,1
101148,0
101150,0
101151,0
101153,0
101155,0
101156,0
101158,0
101159,0
101161,0
101162,0
101163,0
101164,0
101166,0
101167,0
101170,0
101171,0
101172,0
101173,0
101174,0
101176,0
101177,0
101178,0
101179,0
101182,0
101183,0
101184,0
101185,0
101188,0
101191,0
101192,0
101195,0
101196,0
101197,1
101199,0
101201,1
101202,0
101203,0
101205,0
101207,0
101208,0
101209,0
101210,0
101212,0
101214,0
